Date,Value
2020-09-11,173.16618720187077
2020-09-14,174.4570237254602
2020-09-15,174.94092248302383
2020-09-16,175.58383348584533
2020-09-17,175.24571715419572
2020-09-18,174.6893429038751
2020-09-21,172.2589862738639
2020-09-22,172.4083227450038
2020-09-23,169.9422430918398
2020-09-24,170.21529225050935
2020-09-25,170.79345477838817
2020-09-28,172.43469061291356
2020-09-29,172.13974705345606
2020-09-30,172.6287188477683
2020-10-01,173.35056375989706
2020-10-02,172.99827968545165
2020-10-05,174.58219544278344
2020-10-06,174.0637430304584
2020-10-07,174.8397458214475
2020-10-08,175.92809452027177
2020-10-09,176.79640241843535
2020-10-12,177.18593372329173
2020-10-13,176.3184837738426
2020-10-14,176.1496296577282
2020-10-15,176.3940865066558
2020-10-16,175.94963803377723
2020-10-19,175.2050276640531
2020-10-20,175.91703262670632
2020-10-21,175.64835291716292
2020-10-22,175.69945696940192
2020-10-23,175.87837711986194
2020-10-26,174.52412646039295
2020-10-27,174.58360304278895
2020-10-28,171.7020578138387
2020-10-29,171.77934930338904
2020-10-30,171.23274273975312
2020-11-02,173.0320731694043
2020-11-03,174.42501549240612
2020-11-04,176.02711142604966
2020-11-05,177.89505013681534
2020-11-06,177.45535234877207
2020-11-09,177.5269335202776
2020-11-10,178.2626725045031
2020-11-11,178.41889528961195
2020-11-12,177.86358866319426
2020-11-13,179.02775754973453
2020-11-16,180.2063200223898
2020-11-17,180.32417809898143
2020-11-18,179.54937067330098
2020-11-19,179.97085740216153
2020-11-20,180.16175297007788
2020-11-23,180.1162987413157
2020-11-24,180.90186262950354
2020-11-25,180.93783540953137
2020-11-27,180.9257297031274
2020-11-30,179.8687392113396
2020-12-01,180.89984293680598
2020-12-02,181.1126489089623
2020-12-03,181.84593896953777
2020-12-04,182.5053710284008
2020-12-07,182.9200233735351
2020-12-08,183.2396882198231
2020-12-09,182.21001346221024
2020-12-10,182.98612862386545
2020-12-11,182.8643923615269
2020-12-14,182.56101035946472
2020-12-15,184.2326472578743
2020-12-16,184.49911532612938
2020-12-17,185.61891031309074
2020-12-18,185.2606247886468
2020-12-21,184.50896654866432
2020-12-22,184.25392938004066
2020-12-23,185.01854028195748
2020-12-24,185.46642742920255
2020-12-28,185.43003366137953
2020-12-29,185.33183639699536
2020-12-30,186.21940817733574
2020-12-31,186.6942025833505
2021-01-04,186.1286948243739
2021-01-05,187.71591403251887
2021-01-06,187.8632486744285
2021-01-07,188.5945949871586
2021-01-08,188.8706997202238
2021-01-11,187.73307798309932
2021-01-12,188.8320812380698
2021-01-13,189.037898267463
2021-01-14,189.62533948297005
2021-01-15,188.41167520848325
2021-01-19,189.64779894296478
2021-01-20,191.47470114682383
2021-01-21,191.13975020275146
2021-01-22,190.51676149418216
2021-01-25,191.23281406702233
2021-01-26,190.79657220715353
2021-01-27,188.30592324524758
2021-01-28,188.83440625112286
2021-01-29,186.83010133055464
2021-02-01,189.4970930475299
2021-02-02,190.34443729753121
2021-02-03,190.4138740468643
2021-02-04,190.63372695479484
2021-02-05,191.51799836507956
2021-02-08,192.89357827151406
2021-02-09,193.50867568885965
2021-02-10,193.79990468719734
2021-02-11,193.97834600072417
2021-02-12,194.15854661168098
2021-02-16,193.52957777155402
2021-02-17,193.1930495975525
2021-02-18,192.18182930608052
2021-02-19,192.69461699546395
2021-02-22,192.18417252633472
2021-02-23,192.4555896211646
2021-02-24,193.19352937199244
2021-02-25,189.6323319692824
2021-02-26,188.4389785754085
2021-03-01,190.385103347901
2021-03-02,189.62960567083093
2021-03-03,188.44381515890296
2021-03-04,186.5122717524477
2021-03-05,188.3569547159435
2021-03-08,187.01097821597196
2021-03-09,189.12307884646626
2021-03-10,190.00751198245473
2021-03-11,191.89002558321016
2021-03-12,191.38199613746704
2021-03-15,192.25716579961528
2021-03-16,191.84532220195146
2021-03-17,192.26054375498916
2021-03-18,189.46523032520176
2021-03-19,190.24054541587168
2021-03-22,190.52114333573107
2021-03-23,188.62432544633387
2021-03-24,188.1395224629532
2021-03-25,188.60927077393478
2021-03-26,191.03963005524085
2021-03-29,189.80129259002692
2021-03-30,189.5300748036067
2021-03-31,190.20851720256536
2021-04-01,192.32142550141694
2021-04-05,192.7122370928344
2021-04-06,193.28194463720968
2021-04-07,192.48238323430144
2021-04-08,193.47339459064682
2021-04-09,193.12443620422312
2021-04-12,192.8843836372889
2021-04-13,193.6165488850486
2021-04-14,193.93911662209842
2021-04-15,195.84229428905073
2021-04-16,196.17355579257253
2021-04-19,195.69080568182486
2021-04-20,195.06870788187436
2021-04-21,196.37859057938215
2021-04-22,195.88781948469
2021-04-23,197.18709808420846
2021-04-26,197.56226268569006
2021-04-27,197.41813826288876
2021-04-28,197.75802707510525
2021-04-29,197.88826984173102
2021-04-30,196.6899089178445
2021-05-03,197.4823234159366
2021-05-04,196.7762976510094
2021-05-05,196.9689136465837
2021-05-06,198.19960801516862
2021-05-07,199.59753333456482
2021-05-10,198.22658865974347
2021-05-11,197.4650209112572
2021-05-12,194.26195163721746
2021-05-13,195.03475930501855
2021-05-14,197.22961225200498
2021-05-17,197.5474496217272
2021-05-18,197.44277239422988
2021-05-19,196.57348642441903
2021-05-20,197.63511154377167
2021-05-21,197.56554127559102
2021-05-24,198.73056835619124
2021-05-25,199.1851003869695
2021-05-26,199.75107578482147
2021-05-27,200.0493760809387
2021-05-28,200.46889345918174
2021-06-01,201.81593346504388
2021-06-02,202.32741685422084
2021-06-03,200.8924568484411
2021-06-04,202.35100217667332
2021-06-07,202.507528974937
2021-06-08,202.9471333463622
2021-06-09,202.74360818160227
2021-06-10,203.55188558031762
2021-06-11,203.25362656256831
2021-06-14,202.82787360796988
2021-06-15,202.19452088001114
2021-06-16,200.65295417887637
2021-06-17,199.47042274298806
2021-06-18,198.3710728822721
2021-06-21,200.08974790410468
2021-06-22,199.97332798072136
2021-06-23,200.08194808251173
2021-06-24,200.90293388137397
2021-06-25,201.4507499673174
2021-06-28,201.31269374955895
2021-06-29,201.06731862471165
2021-06-30,201.07126996742187
2021-07-01,201.49826083415388
2021-07-02,202.03024913058454
2021-07-06,201.01146289162898
2021-07-07,201.16587301879338
2021-07-08,200.35545038912522
2021-07-09,201.88277735392845
2021-07-12,202.07067889536572
2021-07-13,201.3168542864483
2021-07-14,201.688617617419
2021-07-15,201.67378733817424
2021-07-16,200.6295017411248
2021-07-19,198.86834111856416
2021-07-20,200.4845498475301
2021-07-21,201.3013992624069
2021-07-22,201.4129976311362
2021-07-23,201.52095268894112
2021-07-26,201.17343732644787
2021-07-27,200.67360956024257
2021-07-28,201.86736304962233
2021-07-29,202.96881628636902
2021-07-30,202.41042981348087
2021-08-02,202.37850517630665
2021-08-03,202.75615514703946
2021-08-04,202.04845757620308
2021-08-05,202.57791667792446
2021-08-06,201.22986684005048
2021-08-09,200.16405841962214
2021-08-10,200.5322044639723
2021-08-11,201.62790500270492
2021-08-12,201.34714217762436
2021-08-13,201.98769523805598
2021-08-16,201.76370498635353
2021-08-17,200.42140218547596
2021-08-18,199.65839197695783
2021-08-19,198.73745238992035
2021-08-20,198.80996786514743
2021-08-23,200.7026438089125
2021-08-24,201.86851878174733
2021-08-25,201.95013248359461
2021-08-26,201.1717722959704
2021-08-27,203.3307888314352
2021-08-30,203.48971870965804
2021-08-31,203.53334684210657
2021-09-01,204.1190424622444
2021-09-02,204.5786165566055
2021-09-03,204.6103056965891
2021-09-07,203.16272747993463
2021-09-08,203.00242844348975
2021-09-09,202.96616588531137
2021-09-10,202.36484709056063
2021-09-13,203.169724587875
2021-09-14,202.89034532325857
2021-09-15,203.56263854585112
2021-09-16,202.38591473685142
2021-09-17,201.37898821780058
2021-09-20,200.02397669295968
2021-09-21,200.41452593043826
2021-09-22,201.68448431920436
2021-09-23,202.0720624581852
2021-09-24,201.41670412024436
2021-09-27,202.03944796799402
2021-09-28,199.84604742763082
2021-09-29,199.65107550977802
2021-09-30,199.51042142253834
2021-10-01,201.04198162617269
2021-10-04,200.7133639830051
2021-10-05,200.8971787629972
2021-10-06,200.53755578088013
2021-10-07,201.51368123902853
2021-10-08,201.1240450907443
2021-10-11,200.79415687376735
2021-10-12,201.57341569836643
2021-10-13,203.04996419396866
2021-10-14,204.58762767850476
2021-10-15,204.60407555955572
2021-10-18,204.41645980808266
2021-10-19,204.716878613253
2021-10-20,205.5571453022849
2021-10-21,204.9963152365618
2021-10-22,205.60820260147662
2021-10-25,206.3062413832267
2021-10-26,206.06993308932516
2021-10-27,205.18564191743675
2021-10-28,206.07452393292743
2021-10-29,205.3375238536989
2021-11-01,206.57350442101082
2021-11-02,206.70976215511394
2021-11-03,206.33668559567155
2021-11-04,206.55860308281908
2021-11-05,208.07822216585748
2021-11-08,208.41204377375215
2021-11-09,208.8368440327248
2021-11-10,207.53908823877242
2021-11-11,208.33656081345734
2021-11-12,208.59639827302624
2021-11-15,208.16453955293846
2021-11-16,207.8911833630313
2021-11-17,207.7224844705563
2021-11-18,207.5186346651964
2021-11-19,206.86599256362516
2021-11-22,205.7321209052643
2021-11-23,205.53915587466872
2021-11-24,205.76521318946467
2021-11-26,202.3467904739939
2021-11-29,202.61220317945595
2021-11-30,200.65535597641642
2021-12-01,199.83192883782118
2021-12-02,201.7811159590014
2021-12-03,201.4768954990116
2021-12-06,202.71079887206648
2021-12-07,204.4905874445547
2021-12-08,204.80569596793558
2021-12-09,203.44119653267393
2021-12-10,204.01336100605255
2021-12-13,203.48127459801822
2021-12-14,202.44184172699323
2021-12-15,203.26640116910573
2021-12-16,203.20600200002264
2021-12-17,202.70517806766776
2021-12-20,201.12881784560898
2021-12-21,203.23592062661774
2021-12-22,204.518028280329
2021-12-23,205.0442076390866
2021-12-27,206.41081538572053
2021-12-28,206.14623353917318
2021-12-29,206.0788373101869
2021-12-30,206.54817557063066
2021-12-31,206.48707629449285
2022-01-03,206.1262099715083
2022-01-04,206.5940816989567
2022-01-05,204.0940127872299
2022-01-06,203.91458675356847
2022-01-07,203.48565185808602
2022-01-10,203.00585516847804
2022-01-11,204.75105890366257
2022-01-12,205.16830787752113
2022-01-13,204.31620127838758
2022-01-14,203.7993559197613
2022-01-18,201.45379252905883
2022-01-19,201.19868357136465
2022-01-20,200.09409900211102
2022-01-21,198.87689822593765
2022-01-24,199.2205332324582
2022-01-25,198.29171930820158
2022-01-26,196.71092985150042
2022-01-27,195.5010820146045
2022-01-28,197.00556908453925
2022-01-31,199.1384299794838
2022-02-01,199.9855052068648
2022-02-02,200.52013733623485
2022-02-03,198.45661263131385
2022-02-04,198.25530119693727
2022-02-07,198.5796841569011
2022-02-08,199.2598140392926
2022-02-09,201.34057513727353
2022-02-10,198.9347703312213
2022-02-11,198.5503353237369
2022-02-14,197.7990820053187
2022-02-15,199.08622205928575
2022-02-16,199.8477727569687
2022-02-17,198.4799151374225
2022-02-18,198.1396212455182
2022-02-22,197.11645213391165
2022-02-23,195.5359594030381
2022-02-24,196.2047491915989
2022-02-25,198.4388742934828
2022-02-28,198.63403816663723
2022-03-01,198.0494995112706
2022-03-02,199.06421889344753
2022-03-03,198.4688461924256
2022-03-04,197.8052098875384
2022-03-07,194.91619625016034
2022-03-08,195.69074271194367
2022-03-09,197.15997867395905
2022-03-10,196.0009523108709
2022-03-11,194.74620765070745
2022-03-14,192.70662230074856
2022-03-15,193.49574970906943
2022-03-16,197.0084156789602
2022-03-17,198.84375012499925
2022-03-18,199.784752904534
2022-03-21,198.97619066437034
2022-03-22,199.5399946107324
2022-03-23,199.05781404416956
2022-03-24,200.04999402826732
2022-03-25,199.7787841191759
2022-03-28,199.35934127020434
2022-03-29,201.99868237344404
2022-03-30,201.5827839630611
2022-03-31,199.91292037193966
2022-04-01,200.815936025184
2022-04-04,201.5411114274802
2022-04-05,198.85224309804732
2022-04-06,197.58578723671013
2022-04-07,197.44636265094042
2022-04-08,197.13504104427898
2022-04-11,195.72346432114227
2022-04-12,196.14378027646737
2022-04-13,197.979861020025
2022-04-14,196.59407304650202
2022-04-18,196.16353568898458
2022-04-19,196.44376974332295
2022-04-20,197.6364709023509
2022-04-21,195.60824700651023
2022-04-22,192.97005538010552
2022-04-25,193.08785136612815
2022-04-26,190.69143635340419
2022-04-27,190.3339618296246
2022-04-28,192.3114785541371
2022-04-29,189.44083887367924
2022-05-02,188.8479412770347
2022-05-03,189.8224640632296
2022-05-04,192.8978788568548
2022-05-05,188.52087770255116
2022-05-06,187.07300423415356
